COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
675008,"sphingomyelin (d18:1/14:0, d16:1/16:0)*",Lipid,Sphingomyelins,POSb,HMDB0012097,,11433862.0,121999-55-1,,9608732.0
675009,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",Lipid,Sphingomyelins,POSb,HMDB0240609,"HMDB0240609,HMDB0240620(SM(d17:1/18:0)),HMDB0240622(SM(d19:1/16:0))",,121999-64-2,,34449011.0
675010,"sphingomyelin (d18:1/18:1, d18:2/18:0)",Lipid,Sphingomyelins,POSb,HMDB0012101,,6443882.0,108392-10-5,,4947837.0
675011,"sphingomyelin (d18:1/19:0, d19:1/18:0)*",Lipid,Sphingomyelins,POSb,,,,,,
675012,"sphingomyelin (d18:1/20:0, d16:1/22:0)*",Lipid,Sphingomyelins,POSb,HMDB0012102,,44260124.0,121999-68-6,C00550,23113477.0
675013,"sphingomyelin (d18:1/20:1, d18:2/20:0)*",Lipid,Sphingomyelins,POSb,HMDB0240610,"HMDB0240610,HMDB0240632(SM(d18:2(4E,14Z)/20:0))",52931179.0,222403-67-0,,58164052.0
675014,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",Lipid,Sphingomyelins,POSb,,,,,,
675015,"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",Lipid,Sphingomyelins,POSb,HMDB0240611,"HMDB0240611,HMDB0240619(SM(d16:1/23:0)),HMDB0240621(SM(d17:1/22:0))",52931193.0,121999-71-1,,34449008.0
675016,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Lipid,Sphingomyelins,POSb,HMDB0012104,,52931203.0,222403-68-1,,29368329.0
675017,"sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*",Lipid,Sphingomyelins,POSb,HMDB0240670,"HMDB0240670,HMDB0240669(SM(d18:2(4E,14Z)/22:1(13Z))),HMDB0240672(SM(d16:1/24:2(5Z,9Z)))",,1612873-57-0,,
675018,"sphingomyelin (d18:1/24:1, d18:2/24:0)*",Lipid,Sphingomyelins,POSb,HMDB0012107,,44260126.0,94359-13-4,C00550,24846874.0
675019,"sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*",Lipid,Sphingomyelins,POSb,HMDB0240671,,44260137.0,221105-53-9,,24846885.0
675020,"sphingomyelin (d18:2/14:0, d18:1/14:1)*",Lipid,Sphingomyelins,POSb,HMDB0240612,"HMDB0240612,HMDB0240637(SM(d18:2(4E,14Z)/14:0))",,222403-65-8,,
