COMP ID,COMPOUND Name,SUPER META PATHWAY,SUB META PATHWAY,ACQUISITION METHOD,HMDB ID,HMDB_annotation,PUBCHEM ID,CAS ID,KEGG ID,CHEMSPIDER ID
205007,mannitol/sorbitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",NEGb,HMDB0000765,"HMDB0000765,HMDB0000247(Sorbitol）",6251.0,69-65-8,C00392,6015.0
205008-1,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",NEGb,,,,,,
205009,mannose 6-phosphate,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",NEGb,HMDB0001078,,,,C00275,
206003,maltopentaose,Carbohydrate,Glycogen Metabolism,NEGb,HMDB0012254,,13489094.0,34620-76-3,,18509779.0
206004,maltose,Carbohydrate,Glycogen Metabolism,NEGb,HMDB0000163,,10991489.0,69-79-4,C00208,9166684.0
206005,maltotetraose,Carbohydrate,Glycogen Metabolism,NEGb,HMDB0001296,,439639.0,34612-38-9,C02052,388711.0
206007,maltotriose,Carbohydrate,Glycogen Metabolism,NEGb,HMDB0001262,,439586.0,1109-28-0,C01835,388669.0
207008,fructose-6-phosphate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,HMDB0000124,"HMDB0000124,HMDB0003971(Beta-D-Fructose 6-phosphate)",,,C00085,
207009-1,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,,,,,,
207011,glucose 6-phosphate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,HMDB0001401,,5958.0,56-73-5,C00092,5743.0
207013,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,HMDB0000139,"HMDB0000139,HMDB0006372(L-Glyceric acid)",439194.0,473-81-4,C00258,388334.0
207015,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,HMDB0000190,,107689.0,79-33-4,C00186,96860.0
207017,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",NEGb,,,,,,
209002,cytidine 5'-monophospho-N-acetylneuraminic acid,Carbohydrate,Nucleotide Sugar,NEGb,HMDB0001176,,448209.0,3063-71-6,C00128,395082.0
210002,arabitol/xylitol,Carbohydrate,Pentose Metabolism,NEGb,HMDB0001851,"HMDB0001851,HMDB0002917(D-Xylitol),HMDB0242149(Xylitol),HMDB0000568(D-Arabitol)",439255.0,7643-75-6,C00532,388391.0
210003,arabonate/xylonate,Carbohydrate,Pentose Metabolism,NEGb,HMDB0000539,"HMDB0000539,HMDB0059750(D-Xylonic acid)",122045.0,488-30-2,C00878,108861.0
210007,ribitol,Carbohydrate,Pentose Metabolism,NEGb,HMDB0000508,"HMDB0000508,D-Xylitol(HMDB0002917)",,,C00474,
210008,ribonate,Carbohydrate,Pentose Metabolism,NEGb,HMDB0000867,,5460677.0,642-98-8,C01685,4574162.0
210009,ribose,Carbohydrate,Pentose Metabolism,NEGb,HMDB0000283,,5779.0,613-83-2,C00121,5575.0
210010,ribulonate/xylulonate*,Carbohydrate,Pentose Metabolism,NEGb,HMDB0060255,,644110.0,4172-43-4,C05412,559150.0
210011-1,ribulose/xylulose,Carbohydrate,Amino sugar and nucleotide sugar,NEGb,,,,,,
210012,sedoheptulose,Carbohydrate,Pentose Metabolism,NEGb,HMDB0003219,,441483.0,470-46-2,C08355,390207.0
211003,ribose 1-phosphate,Carbohydrate,Pentose Phosphate Pathway,NEGb,HMDB0001489,,439236.0,14075-00-4,C00620,388373.0
211005,ribulose/xylulose 5-phosphate,Carbohydrate,Pentose Phosphate Pathway,NEGb,HMDB0000618,,,,C00199,
212002,2-ketogluconate,Carbohydrate,"Sucrose, glucose,fructose metabolism",NEGb,,,,,,
301001,2-O-methylascorbic acid,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NEGb,HMDB0240294,,54726398.0,17860-87-6,,
301003,ascorbic acid 2-sulfate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NEGb,HMDB0060649,,54676864.0,37627-95-5,,18502892.0
301006,dehydroascorbate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NEGb,HMDB0001264,,440667.0,490-83-5,C05422,389547.0
301007,gulonate*,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NEGb,HMDB0003290,,152304.0,20246-53-1,C00800,134243.0
301010,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,NEGb,HMDB0000943,,5460407.0,7306-96-9,C01620,4573940.0
306017,quinolinate,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,NEGb,HMDB0000232,,1066.0,89-00-9,C03722,144985.0
315005,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism,NEGb,HMDB0000017,,6723.0,82-82-6,C00847,6467.0
402004,alpha-ketoglutarate,Energy,TCA Cycle,NEGb,HMDB0000208,,51.0,328-50-7,C00026,50.0
402006,citraconate/glutaconate,Energy,TCA Cycle,NEGb,HMDB0000620,"HMDB0000620,HMDB0000634(Citraconic acid)",5280498.0,1724-02-3,C02214,4444138.0
402008,fumarate,Energy,TCA Cycle,NEGb,HMDB0000134,,444972.0,110-17-8,C00122,10197150.0
402011,isocitric lactone,Carbohydrate,TCA cycle,NEGb,,,,,,
402014,succinate,Energy,TCA Cycle,NEGb,HMDB0000254,,1738118.0,110-15-6,C00042,1078.0
617002,malonate,Lipid,Fatty Acid Synthesis,NEGb,HMDB0000691,,867.0,141-82-2,C04025,844.0
621001,2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000321,,193530.0,18294-85-4,C02360,167943.0
621002,2-hydroxyglutarate,Lipid,"Fatty Acid, Dicarboxylate",NEGb,,,,,,
621009,3-methylglutarate/2-methylglutarate,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000422,"HMDB0000422,HMDB0000752(Methylglutaric acid （3-）)",12046.0,617-62-9,,11549.0
621010,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0002070,,599.0,1187-99-1,C01127,579.0
621012,adipate,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000448,,196.0,124-04-9,C06104,191.0
621017,decadienedioic acid (C10:2-DC),Lipid,"Fatty Acid, Dicarboxylate",NEGb,,,,,,
621025,glutarate (C5-DC),Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000661,,743.0,110-94-1,C00489,723.0
621026,heptenedioate (C7:1-DC)*,Lipid,"Fatty Acid, Dicarboxylate",NEGb,,,,,,
621031,maleate,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000176,,444266.0,110-16-7,C01384,392248.0
621038,pimelate (C7-DC),Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000857,,385.0,111-16-0,C02656,376.0
621039,sebacate (C10-DC),Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000792,,5192.0,111-20-6,C08277,5004.0
621040,suberate (C8-DC),Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000893,,10457.0,505-48-6,C08278,10025.0
622003,"2,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",NEGb,HMDB0000360,,192742.0,1518-62-3,,167259.0
622004,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",NEGb,HMDB0000498,,13120901.0,759-06-8,,17215960.0
622005,"2S,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",NEGb,HMDB0002453,,10964471.0,5057-93-2,,9139682.0
622006,"3,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",NEGb,HMDB0000337,,150929.0,51267-44-8,,133026.0
623001,3-hydroxyadipate*,Lipid,"Fatty Acid, Dicarboxylate",NEGb,HMDB0000345,,151913.0,14292-29-6,,133894.0
624008,2-hydroxyheptanoate*,Lipid,"Fatty Acid, Monohydroxy",NEGb,,,,,,
624030,4-hydroxybutyrate (GHB),Amino Acid,Glutamate family (alpha-ketoglutarate derived),NEGb,HMDB0000710,,,,C01991,
627004,galactosylglycerol,Lipid,Galactosyl Glycerolipids,NEGb,HMDB0006790,,656504.0,,C05401,570889.0
628003,glycerophosphoglycerol,Lipid,Glycerolipid Metabolism,NEGb,HMDB0240316,,54575349.0,185615-51-4,,28184731.0
635001,chiro-inositol,Lipid,Inositol Metabolism,NEGb,HMDB0034220,,,551-72-4,,10199754.0
635002,inositol 1-phosphate (I1P),Lipid,Inositol Metabolism,NEGb,HMDB0000213,,,15421-51-9,C01177,10375592.0
