Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC1_outlier,PC2_outlier,Any_outlier,PC1_flag,PC2_flag
sample-1,-1.8368817720790611,9.674800360597471,-11.493512772836969,9.48406033728764,0.099155334586956,2.322369255173362,-1.1396827658786286,-1.0733162814270871,-3.289945916054537,-5.798882915102915,False,False,False,normal,normal
sample-2,5.119141232623874,-5.977017125015612,-4.488252542430594,-9.70920150090454,5.96511045148603,3.6213587977928134,1.531295093523821,0.6328085654239137,-3.5183758066256625,2.3802665057771075,False,False,False,normal,normal
sample-3,5.093578342784496,14.212925953923486,-3.2787986384145107,-0.1700949656542373,-3.598091763093586,21.238699012431557,-2.5503904344977446,-0.5266296048275633,2.4970834937257873,-3.8382488247558824,False,False,False,normal,normal
sample-4,-8.885905800082833,6.307899232772697,-7.511825490059417,-2.4501995943934025,1.929064964148292,-3.779746776290904,8.049088729937255,2.565183814042594,-5.7893117166954395,-3.894545846978354,False,False,False,normal,normal
sample-5,5.5110092537719515,5.872692202587271,-22.042686863161617,5.401724684730204,0.0198145875166373,-7.527623067684845,-4.5455684132293115,-3.1126619146178944,2.2779557911142083,-1.828104777591336,False,False,False,normal,normal
sample-6,2.653529887252008,8.866737256617041,10.037469074570703,-4.726735751142642,-10.099258879040235,-4.870050495945649,-8.804921153982606,9.863381779279823,1.917350609061689,9.490056047853916,False,False,False,normal,normal
sample-7,-2.7510761941107877,5.830797048451193,-0.4900548178292712,-13.68742417217342,-5.567767185853944,-2.043950661494136,-10.785503257085194,1.2315803068407367,-0.7435494613310554,-3.5379890482890985,False,False,False,normal,normal
sample-8,9.545945936890556,-0.9507259270422602,-4.05113573706249,-7.8669262049554,0.0702263983738338,6.186123717230296,-0.0424961285916951,3.259656000388189,-6.188921231519267,1.1949252460137525,False,False,False,normal,normal
sample-9,7.21427313532946,-0.53236688323692,-20.600499815731368,6.071365920879003,-2.7143639645852886,4.517997696086438,-0.7193611927854379,-4.769499257213195,2.184055270135051,3.467739818616597,False,False,False,normal,normal
sample-10,4.636058485463372,6.46779140710151,-2.4459565860112007,-5.575856607587585,6.005463153793414,-4.696686049269546,-6.134994602153384,9.636720905589724,-3.3452271913287546,-1.542568845196627,False,False,False,normal,normal
sample-11,8.927063398319136,2.0003510297039857,5.690799050250251,2.454164298447727,5.0135614705934985,-5.368401071039424,-2.3794957091081996,10.064636339928692,-5.627090809535324,8.356004393114908,False,False,False,normal,normal
sample-12,-36.691305913207366,26.244922045783376,12.028360336282937,-2.9986974144675456,12.35370663238166,-9.77141558956719,12.090964868984384,-4.2153574053009,5.7466076568000535,4.534059522627321,True,True,True,low,high
sample-13,-0.1689454476926938,-3.7458874866886966,-2.797260320792852,6.901195101570871,-4.425193493443233,-1.0379868878581888,7.382563339992405,2.466889764392844,-4.659310268217851,1.1035177803875014,False,False,False,normal,normal
sample-14,3.557243653308954,-15.447982750174445,4.772686723495704,0.5705703968529131,-2.1145565651626375,0.6519894488483557,3.020744901766421,-6.4835715652353345,-0.2733226580346143,0.0955808326249034,False,False,False,normal,normal
sample-15,13.915051676720122,-5.78616890513726,8.626718639307215,-4.64156047414987,1.3970758775129126,-5.221496799949537,-10.597927734045136,-1.8583727958333984,4.223074517107619,-2.9457998345932093,False,False,False,normal,normal
sample-16,10.456316269502054,-6.033550195804454,-2.60001092817985,-0.671958439471602,-1.9977679216016413,0.9265864987247684,11.613216220163526,0.2492109244821053,1.4313886949547443,5.255069736154403,False,False,False,normal,normal
sample-17,7.839350270019562,-3.4954314974164133,1.6855141643863245,-4.516842000004655,-1.86549619977449,3.345485372865961,4.704093772713119,1.0927194669737794,-0.4350763506755841,-7.7621431724082495,False,False,False,normal,normal
sample-18,-9.064738349716713,-3.171752127406444,-8.706376361365686,-12.44438663703408,-7.217206868126925,-2.977862898156608,0.119101120500449,-1.389352794751609,-12.53629723295299,2.12936903282646,False,False,False,normal,normal
sample-19,11.359159373318091,-3.0770914820921624,-0.3684065441668576,-4.58822876634643,-6.579366336787373,3.4353884667948025,9.094411811244814,3.660450460090487,11.135852322515865,-3.754964159084802,False,False,False,normal,normal
sample-20,-2.0481537518998434,4.026136362576132,-7.520688320467402,4.0385294273137005,13.360848806287953,-5.958238154447647,0.3158494167038005,-3.4640114959456834,-0.9479657141901204,-5.057268499511891,False,False,False,normal,normal
sample-21,0.0351844339139185,-2.160808996237766,8.943236273609493,4.906014439048407,-9.333330283664406,-1.3204222331483155,0.7158785715361099,-0.6942976354713772,2.2205057579255167,2.286053536421491,False,False,False,normal,normal
sample-22,-53.07399530406102,-30.217184162106967,-2.812090169625236,-3.749391177493948,-10.579459416359366,-3.9460686661414535,-5.8566573356636855,-8.632929267271626,0.9237448692246096,-0.4533059073122004,True,True,True,low,low
sample-23,-4.813700669567757,11.786860461405,0.1491915594591091,-11.94254473477654,-4.40920687741794,-3.298864570929918,-3.647245347635318,-1.4766778749300666,2.6284431194249542,-1.327498918807516,False,False,False,normal,normal
sample-24,-3.608322150058411,11.943978673177616,0.911855649688854,-7.661433065232531,10.01691168416983,7.001517848463464,-4.791566253574796,-2.243518706080883,4.210112070482579,1.6710713848433767,False,False,False,normal,normal
sample-25,-33.99637350538498,-20.51059102814684,-5.56955044096514,7.360562975291216,10.301549135520064,11.079511321765308,-0.9935107830744156,18.82398427811303,8.328124648394233,0.7265847102841698,True,True,True,low,low
sample-26,-15.128045236466596,13.13026532057029,18.478102304450417,8.59347312655133,-6.071363659633114,9.543200728711492,-1.571171879342984,-3.559195514668148,-1.597254386428149,-3.18898274269242,False,False,False,normal,normal
sample-27,14.374129307850705,-8.306314396338593,-4.201605077167057,-8.426900571209988,4.931623408151201,-6.118446722850775,0.6406481969182137,-1.603701381490449,6.494614708973646,6.084285823515747,False,False,False,normal,normal
sample-28,-4.10475611326483,10.015611628178505,8.204785379342281,-8.22291572820133,-3.880726085997209,7.114917262991261,0.6807263862906858,-0.918029554733253,-0.3156293054084136,-5.684948644646959,False,False,False,normal,normal
sample-29,10.027710279577914,-4.289909216194976,3.775921040040609,0.5083897939676241,-5.2304793034034045,-3.4638989738564026,4.173071560487911,-1.2657579542461084,3.6565147266026576,-3.0781825007508714,False,False,False,normal,normal
sample-30,15.020153007831526,-8.006520959624485,10.50888014424915,5.407817523057052,5.506113306554698,-3.005267860816313,-0.7058217403475081,-3.439729768498888,2.2436582004372174,-4.973586784897475,False,False,False,normal,normal
sample-31,13.930328451339184,-7.093099113789397,-0.7597171362220816,-1.6491298251426976,-0.0992096072131536,2.3378918560896955,5.024362155265371,-3.461123032672215,4.35498053703138,7.700806201952088,False,False,False,normal,normal
sample-32,13.845613333611617,-7.562839493323739,7.2131028283502845,-0.4197690054959967,-0.4700394112127924,-0.918805122629477,0.4857549513497257,-3.916671120361148,3.765049688202068,1.7403896599874704,False,False,False,normal,normal
sample-33,-5.426714517486648,15.07275453849348,-13.275761511456446,2.3729827150912124,3.7283766001908143,-2.204147222585029,5.71053509000832e-05,-2.4532783003090826,4.373936454699344,0.8150810787098788,False,False,False,normal,normal
sample-34,-0.7369979952369892,0.9837581928740452,6.476337223270413,14.474118001674585,-5.631507522767696,0.0848012464674385,4.196422813132281,2.610120217796961,-11.427779427517722,0.9261472064355072,False,False,False,normal,normal
sample-35,8.802489717652167,-13.011620938230472,7.70248019228546,6.522753876367179,11.86617196001207,-1.637160207495224,-1.4501767892673856,2.9443737366827545,-2.9773862536845934,-4.209975576745026,False,False,False,normal,normal
sample-36,11.243084727700095,-8.12419516756917,3.340087724726878,5.7528083157026035,-2.9149558923921712,-8.299284241955899,-0.8345986815513683,1.4883716165349763,2.8357684422566,-8.936948865145228,False,False,False,normal,normal
sample-37,-3.4600983480824916,-3.4863832902733445,5.726755278906017,0.3779376908927796,12.471917402064909,-2.90701242277322,-0.449568325064215,-0.9767855220299132,-7.7288762942585265,-5.054472219536513,False,False,False,normal,normal
sample-38,-1.3521759074474915,13.133985948867728,-2.899348127737001,24.36079662068483,-12.3992924249601,-6.319732318322173,-5.60083880725445,1.630493690767795,3.544476471137835,3.319748635193148,False,False,False,normal,normal
sample-39,4.068075946105462,-5.184122176196736,4.370965893948864,7.760770519777258,12.062968289961573,10.765031566478315,-7.619828601785732,-12.46528236129781,-4.590511332815013,10.615278540544695,False,False,False,normal,normal
sample-40,-0.0263031450396171,0.5992956543663148,-0.7297112789379067,-7.199839129349688,-9.90101980081565,2.519698918292498,7.383074920058084,1.7791692418852243,-5.001466692934089,2.97638239016212,False,False,False,normal,normal
