Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC1_outlier,PC2_outlier,Any_outlier,PC1_flag,PC2_flag
sample-12,-36.691305913207366,26.244922045783376,12.028360336282937,-2.9986974144675456,12.35370663238166,-9.77141558956719,12.090964868984384,-4.2153574053009,5.7466076568000535,4.534059522627321,True,True,True,low,high
sample-22,-53.07399530406102,-30.217184162106967,-2.812090169625236,-3.749391177493948,-10.579459416359366,-3.9460686661414535,-5.8566573356636855,-8.632929267271626,0.9237448692246096,-0.4533059073122004,True,True,True,low,low
sample-25,-33.99637350538498,-20.51059102814684,-5.56955044096514,7.360562975291216,10.301549135520064,11.079511321765308,-0.9935107830744156,18.82398427811303,8.328124648394233,0.7265847102841698,True,True,True,low,low
