Dataset,PC,Rank,Metabolite,Loading,Abs_Loading,Loading_Direction
Placenta,PC1,1,309001,0.06501765112056246,0.06501765112056246,positive
Placenta,PC1,2,657002,0.06475387210435446,0.06475387210435446,positive
Placenta,PC1,3,677011,0.0642180774076353,0.0642180774076353,positive
Placenta,PC1,4,650020,0.06386191551271773,0.06386191551271773,positive
Placenta,PC1,5,651015,0.06343522727847756,0.06343522727847756,positive
Placenta,PC1,6,657006,0.06275766132916692,0.06275766132916692,positive
Placenta,PC1,7,650023,0.06243669159973079,0.06243669159973079,positive
Placenta,PC1,8,651018,0.06232657896013855,0.06232657896013855,positive
Placenta,PC1,9,657004,0.06200802189492365,0.06200802189492365,positive
Placenta,PC1,10,654004,0.06196603194316568,0.06196603194316568,positive
Placenta,PC1,11,650024,0.061713439064305875,0.061713439064305875,positive
Placenta,PC1,12,657009,0.0616888044323356,0.0616888044323356,positive
Placenta,PC1,13,657010,0.061643055956234545,0.061643055956234545,positive
Placenta,PC1,14,657011,0.06160523382836913,0.06160523382836913,positive
Placenta,PC1,15,651013,0.061577171515681504,0.061577171515681504,positive
Placenta,PC1,16,675004,0.06155000176637055,0.06155000176637055,positive
Placenta,PC1,17,651017,0.06106381412319449,0.06106381412319449,positive
Placenta,PC1,18,650018,0.06104047909002667,0.06104047909002667,positive
Placenta,PC1,19,604014,0.06064271180267597,0.06064271180267597,positive
Placenta,PC1,20,654007,0.060595566294559644,0.060595566294559644,positive
Placenta,PC2,1,206007,0.07733657068783682,0.07733657068783682,positive
Placenta,PC2,2,206005,0.07663589396176085,0.07663589396176085,positive
Placenta,PC2,3,206002,0.07367760487661242,0.07367760487661242,positive
Placenta,PC2,4,206004,0.07238153808735315,0.07238153808735315,positive
Placenta,PC2,5,116003,-0.07082287865556677,0.07082287865556677,negative
Placenta,PC2,6,703025,-0.0706779325584717,0.0706779325584717,negative
Placenta,PC2,7,206003,0.070471954511765,0.070471954511765,positive
Placenta,PC2,8,655003,-0.06922453729632358,0.06922453729632358,negative
Placenta,PC2,9,114001,0.06885415307175645,0.06885415307175645,positive
Placenta,PC2,10,114011,0.06796864766186375,0.06796864766186375,positive
Placenta,PC2,11,307007,0.06768244290505897,0.06768244290505897,positive
Placenta,PC2,12,114026,-0.06753255292305275,0.06753255292305275,negative
Placenta,PC2,13,210008,0.06634934185267849,0.06634934185267849,positive
Placenta,PC2,14,110002,0.06629890606958151,0.06629890606958151,positive
Placenta,PC2,15,119002,0.06593878741837324,0.06593878741837324,positive
Placenta,PC2,16,616078,-0.06539240961964639,0.06539240961964639,negative
Placenta,PC2,17,616018,-0.06476788349315767,0.06476788349315767,negative
Placenta,PC2,18,116010,-0.06452664725588789,0.06452664725588789,negative
Placenta,PC2,19,616081,-0.06432751922974114,0.06432751922974114,negative
Placenta,PC2,20,655007,-0.06365783272297405,0.06365783272297405,negative
Cord,PC1,1,703015,0.06591189644135848,0.06591189644135848,positive
Cord,PC1,2,676007,0.06466636903054845,0.06466636903054845,positive
Cord,PC1,3,301004,-0.06416867650883014,0.06416867650883014,negative
Cord,PC1,4,704034,0.0639422252127398,0.0639422252127398,positive
Cord,PC1,5,703058,0.0634929407571051,0.0634929407571051,positive
Cord,PC1,6,655007,0.06346646368540473,0.06346646368540473,positive
Cord,PC1,7,210012,0.06328665226505144,0.06328665226505144,positive
Cord,PC1,8,902025,0.06271568645345056,0.06271568645345056,positive
Cord,PC1,9,674005,0.06267231266214021,0.06267231266214021,positive
Cord,PC1,10,655005,0.06266862741642847,0.06266862741642847,positive
Cord,PC1,11,655001,0.06266343025973242,0.06266343025973242,positive
Cord,PC1,12,702001,0.06176951909959425,0.06176951909959425,positive
Cord,PC1,13,402016,0.0614796828792014,0.0614796828792014,positive
Cord,PC1,14,801009,-0.06144121065086451,0.06144121065086451,negative
Cord,PC1,15,801006,-0.061250308846359555,0.061250308846359555,negative
Cord,PC1,16,621002-1,0.060941451604156635,0.060941451604156635,positive
Cord,PC1,17,801007,-0.06093438163766639,0.06093438163766639,negative
Cord,PC1,18,306006,0.06048765806578223,0.06048765806578223,positive
Cord,PC1,19,657010,0.06028189895437608,0.06028189895437608,positive
Cord,PC1,20,304001,-0.0602159187532677,0.0602159187532677,negative
Cord,PC2,1,107013,0.08496022452547124,0.08496022452547124,positive
Cord,PC2,2,402012,0.08492632378249314,0.08492632378249314,positive
Cord,PC2,3,402011,0.07969908714629657,0.07969908714629657,positive
