Dataset,PC,Rank,Metabolite,Loading,Abs_Loading,Loading_Direction
Placenta,PC1,1,309001,0.06501765112056246,0.06501765112056246,positive
Placenta,PC1,2,657002,0.06475387210435446,0.06475387210435446,positive
Placenta,PC1,3,677011,0.0642180774076353,0.0642180774076353,positive
Placenta,PC1,4,650020,0.06386191551271773,0.06386191551271773,positive
Placenta,PC1,5,651015,0.06343522727847756,0.06343522727847756,positive
Placenta,PC1,6,657006,0.06275766132916692,0.06275766132916692,positive
Placenta,PC1,7,650023,0.06243669159973079,0.06243669159973079,positive
Placenta,PC1,8,651018,0.06232657896013855,0.06232657896013855,positive
Placenta,PC1,9,657004,0.06200802189492365,0.06200802189492365,positive
Placenta,PC1,10,654004,0.06196603194316568,0.06196603194316568,positive
Placenta,PC1,11,650024,0.061713439064305875,0.061713439064305875,positive
Placenta,PC1,12,657009,0.0616888044323356,0.0616888044323356,positive
Placenta,PC1,13,657010,0.061643055956234545,0.061643055956234545,positive
Placenta,PC1,14,657011,0.06160523382836913,0.06160523382836913,positive
Placenta,PC1,15,651013,0.061577171515681504,0.061577171515681504,positive
Placenta,PC1,16,675004,0.06155000176637055,0.06155000176637055,positive
Placenta,PC1,17,651017,0.06106381412319449,0.06106381412319449,positive
Placenta,PC1,18,650018,0.06104047909002667,0.06104047909002667,positive
Placenta,PC1,19,604014,0.06064271180267597,0.06064271180267597,positive
Placenta,PC1,20,654007,0.060595566294559644,0.060595566294559644,positive
Placenta,PC2,1,206007,0.07733657068783682,0.07733657068783682,positive
Placenta,PC2,2,206005,0.07663589396176085,0.07663589396176085,positive
Placenta,PC2,3,206002,0.07367760487661242,0.07367760487661242,positive
Placenta,PC2,4,206004,0.07238153808735315,0.07238153808735315,positive
Placenta,PC2,5,116003,-0.07082287865556677,0.07082287865556677,negative
Placenta,PC2,6,703025,-0.0706779325584717,0.0706779325584717,negative
Placenta,PC2,7,206003,0.070471954511765,0.070471954511765,positive
Placenta,PC2,8,655003,-0.06922453729632358,0.06922453729632358,negative
Placenta,PC2,9,114001,0.06885415307175645,0.06885415307175645,positive
Placenta,PC2,10,114011,0.06796864766186375,0.06796864766186375,positive
Placenta,PC2,11,307007,0.06768244290505897,0.06768244290505897,positive
Placenta,PC2,12,114026,-0.06753255292305275,0.06753255292305275,negative
Placenta,PC2,13,210008,0.06634934185267849,0.06634934185267849,positive
Placenta,PC2,14,110002,0.06629890606958151,0.06629890606958151,positive
Placenta,PC2,15,119002,0.06593878741837324,0.06593878741837324,positive
Placenta,PC2,16,616078,-0.06539240961964639,0.06539240961964639,negative
Placenta,PC2,17,616018,-0.06476788349315767,0.06476788349315767,negative
Placenta,PC2,18,116010,-0.06452664725588789,0.06452664725588789,negative
Placenta,PC2,19,616081,-0.06432751922974114,0.06432751922974114,negative
Placenta,PC2,20,655007,-0.06365783272297405,0.06365783272297405,negative
