Dataset,PC,Metabolite,Outlier_Count,Mean_Abs_Contribution,Mean_Contribution,Mean_Abs_Z,Mean_Abs_Loading,Typical_Value_Direction,Typical_Loading_Direction
Cord,PC1,902001,3,0.168471309895622,0.168471309895622,3.0853793916361187,0.054603109864646115,high,positive
Cord,PC1,801007,3,0.1666327964349098,0.1666327964349098,2.7346268552581208,0.06093438163766638,low,negative
Cord,PC1,902025,3,0.16612152854726356,0.16612152854726356,2.6488034802993643,0.06271568645345056,high,positive
Cord,PC1,801006,3,0.16266488569063656,0.16266488569063656,2.655739844490672,0.06125030884635955,low,negative
Cord,PC1,210012,2,0.21964422711286918,0.21964422711286918,3.4706248355968503,0.06328665226505144,high,positive
Cord,PC1,604011,2,0.21130949836815008,0.21130949836815008,3.807564748083422,0.05549728300077233,high,positive
Cord,PC1,301004,2,0.20328380192900394,0.20328380192900394,3.1679600233149645,0.06416867650883014,low,negative
Cord,PC1,607001,2,0.19025142107319262,0.19025142107319262,4.138676361769246,0.0459691467616622,high,positive
Cord,PC1,642024,2,0.18852043779145364,0.18852043779145364,3.4569571200781484,0.05453363499839765,low,negative
Cord,PC1,801009,2,0.16702953555753097,0.16702953555753097,2.718526112818071,0.06144121065086451,low,negative
Cord,PC1,902018,2,0.1608549340824195,0.1608549340824195,2.7964041692826958,0.05752206202856589,high,positive
Cord,PC1,304001,2,0.15340145376025868,0.15340145376025868,2.547523261893835,0.0602159187532677,low,negative
Cord,PC1,304004,2,0.15265535226101007,0.15265535226101007,2.598612719261939,0.058744941533406876,low,negative
Cord,PC1,703039,1,0.26863794388967493,0.26863794388967493,4.843279502696931,0.05546612450098877,high,positive
Cord,PC1,117013,1,0.2551139171848645,0.2551139171848645,5.191316614909644,0.049142430737545144,high,positive
Cord,PC1,704030,1,0.2516240441611199,0.2516240441611199,4.787704339143228,0.05255630388532903,high,positive
Cord,PC1,703058,1,0.2333221144463463,0.2333221144463463,3.6747725284757213,0.0634929407571051,high,positive
Cord,PC1,657006,1,0.22227310836053818,0.22227310836053818,4.277283821409485,0.05196594793358673,high,positive
