Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Group
sample-1,-2.756423801677508,2.2354315670171987,-4.353985318898658,-1.8159847038973362,-3.6627531295610254,-6.218986505861366,3.8828939274233956,10.254538097049883,1.1886193504647042,-2.048324823548456,Placenta
sample-2,1.8867730082288785,-1.9201299862340184,2.7317770454377217,2.405388780090375,-2.297303268401502,-0.8766484542589098,-7.072830836456324,3.2498412600600335,-0.12018896664335622,5.42379457251553,Placenta
sample-3,4.606224058281816,7.816480685726878,-8.664036778600439,-7.884191318088626,-2.4045903473783152,6.018447565393243,-2.9664293253976006,7.831716949298544,-1.1745511805067106,-3.1840349057719743,Placenta
sample-4,-10.042946660703544,-2.423579167376657,-4.087951217812729,-2.286382344196137,-1.9261223326224757,-4.806377216356048,-1.5022956507392633,5.306955118685692,0.2253956687634843,5.076424882119015,Placenta
sample-5,2.250327460685596,0.22779643817588943,1.991520315360697,-4.315640954604176,-1.5502117038916337,-15.778812299355186,2.11717119071356,10.188627828963407,1.7947330905976047,-1.603042274233227,Placenta
sample-6,0.2706552748115616,9.636333654736351,-0.48326914587864744,-6.995770216860018,-3.227406649252532,5.027607196034075,1.4827897391521958,-4.864859907408937,-4.922338829588291,-4.7608899933840885,Placenta
sample-7,-3.2351715028008208,1.1443532766801439,-2.3788391453600477,-5.320508135677018,2.091539322500386,-1.7762999493409242,-10.122816214627056,-0.35828078962430765,-1.534414230687419,-1.7265195760409586,Placenta
sample-8,5.632651211314492,3.047329154383245,3.915605060466785,0.180993187573646,-5.074310789982807,1.5187964686166142,-6.920688346600947,4.019575900048755,-2.3181392343005656,1.0948507023695626,Placenta
sample-9,4.441682918672154,-0.5721591373546486,4.82717983001612,-0.566309847015839,-4.697108112237445,-12.303269207848013,-0.05786883893810266,10.99846025027137,4.599459847642824,-1.9767482820418139,Placenta
sample-10,0.9109049960785274,3.0347349297215516,-4.504181918066919,-1.2876547888727023,-4.093397757669534,-6.409356657474819,-2.8733816754471007,-2.1399972245472876,-6.984045996836526,2.4132280146906164,Placenta
sample-11,3.9923279769934066,5.63851563941109,-1.293009515285081,2.4083240352436763,-3.133341839343744,-2.1927697678014266,4.868498194447358,-3.576332938316002,-10.246012955898607,0.4205809012397084,Placenta
sample-12,-30.484204187600625,-0.22373785271517635,-27.142234323933213,-6.9806060829583005,-0.35343423370814764,1.682642987246614,0.5933212119876119,-7.978108332176436,2.2390632917197264,5.787436910518639,Placenta
sample-13,-2.452453473623623,-1.4281681610800507,4.285540531153808,1.0482527369071675,1.3248242745294565,-2.833733191552086,4.940777146366842,0.8694935552172187,1.4022639374178325,0.9278215237700314,Placenta
sample-14,-0.08526998721172141,-3.8715023954783723,12.582572388554777,5.3415340101444775,1.4350792832703276,5.969541103528528,2.6319969975468966,2.7357942505857724,3.3983451504938467,3.0303506356696186,Placenta
sample-15,8.931539427525303,4.791366365690149,6.411454995929369,2.1708461208940832,3.153098434708819,2.8225510232141464,-0.5967902038694113,-3.7769054378597735,-1.0543313372495238,2.531512332338209,Placenta
sample-16,4.780640101607138,2.323080664279676,6.4945023146840875,-0.31672288710518354,0.6237288620039781,-0.8362890146565666,1.3629291317211034,0.8096571209513226,1.3171318341224763,3.0076836073858004,Placenta
sample-17,3.085062256398413,2.9147338512345327,4.823229459005927,-0.24300373881142837,1.0020679883116925,3.423952367379223,-5.15210497338478,2.21892535705125,0.6019104124300035,2.0872455840300685,Placenta
sample-18,-9.816874067573355,-6.889141600081263,6.680071168053444,-2.457339343632097,-3.757392496129324,-1.9710152638188556,-8.936758009206597,5.294974226393642,-3.790151923781861,-3.0107816358565693,Placenta
sample-19,6.022414301823887,3.638114938435656,6.621772890915923,-3.405488178243648,0.5141146404079304,4.265614659961866,-2.9731621022163344,-1.8887383846937953,2.705060670866882,2.2062503378127225,Placenta
sample-20,-2.7308091648770776,-3.063148674210952,-6.843350256206155,5.834784319276264,3.000223710481809,-10.276713304994983,-1.3711088030275278,2.856359282144511,-0.2257597628994616,7.140931930800763,Placenta
sample-21,-2.92471565495549,2.7668521537286064,3.7845911334952382,-1.4000967443151335,2.317874205391376,6.498981180076479,7.759567323868228,-1.6612949609678755,3.8551110766145547,-2.701191919146677,Placenta
sample-22,-40.165970525107426,-35.83682945372013,14.239884945883782,2.315039724717951,13.057832434783318,3.9554944643324266,-1.597986279065035,1.6679580119342783,-1.6953044089455565,-0.7623398775553192,Placenta
sample-23,-5.203275909831865,2.8215457487293856,-5.723422727155012,-8.596237605318873,3.25190912073459,0.03645367264467569,-6.516205114528736,0.44284626560949913,-1.3377412013500183,0.463782385853814,Placenta
sample-24,-2.504925242609398,2.2059513853485586,-11.773287627675996,-3.778639787815756,-3.5655258715260536,2.629934985550136,-6.411127576365972,0.7234434276627173,-1.4167245137652886,5.503458015377238,Placenta
sample-25,-23.64252339622366,-23.0931736305799,0.7780300127407653,7.082510609180824,9.93547387515671,5.040850342594145,3.5663356558156467,4.813193284876146,-9.790465958202512,3.662741931975142,Placenta
sample-26,-12.228053496941152,4.6208665923432,-10.82298761699612,-4.77811514693774,5.118695463870528,13.619558963638523,8.399282282891786,-1.2330115888081923,0.46317611258582175,-3.017528276721057,Placenta
sample-27,8.241016410529985,0.1779340402908546,7.447326786200598,2.482271528947165,-1.122190957784053,-5.314633323360711,-3.493486101024898,-2.8607439107536727,3.754673741898506,4.786233031930886,Placenta
sample-28,-3.704144726594695,3.875785494313362,-6.130807411840485,-8.135771942423476,1.7519945148653602,9.265422909721648,-4.0426833191847,0.34054028013679855,-3.215181424635624,1.402860239634063,Placenta
sample-29,5.536855484326212,2.8113964062744246,5.173724411788849,0.35009453085211834,5.016455543249746,0.7711154605570216,0.6221552548980758,-3.3060951530886027,4.605079194157413,0.7879226250479215,Placenta
sample-30,8.976838716902193,7.160003457228136,3.823994072676016,6.87600725216021,4.755359016967184,2.3444151234081616,4.54762304184589,-2.7537241783416317,4.616206785731528,5.999758812608748,Placenta
sample-31,8.863412316135571,1.8505937919862019,6.826965643272522,-0.5468296218512023,1.1706449670180714,0.35366603407747,0.055617825279852144,0.08718578275659875,2.5964487867406794,3.5428393300228667,Placenta
sample-32,7.3852522704519385,3.4659275778679617,6.283863921867704,1.145295082941419,1.9505259627822367,2.891572358636202,3.5024066209139795,-2.318953492727034,4.498222929008331,3.585168425060714,Placenta
sample-33,-5.549027144907748,1.3539504613052664,-9.734399958124554,-6.210973209807999,-1.903439020041001,-10.622136707614802,-1.6018333184930762,5.600395864375216,3.250367645766202,0.020135695010028733,Placenta
sample-34,-3.367558311504902,3.165380399362024,2.403970473736723,3.419348300567952,0.6635018805871857,3.675181629248197,13.642649207452136,4.560276458993521,-2.958146889041936,-4.467200875007878,Placenta
sample-35,4.734265538445642,-0.9920936499258127,3.4614141862404257,13.217800520788488,1.3567562421715973,0.3487422045721185,3.3320589535070684,-2.6870098881165005,-2.954804861723537,3.3485269437134373,Placenta
sample-36,4.677911642905743,4.134788810095551,8.021598240977328,5.845048189410797,4.361649092675051,-3.613687785346009,3.4751032511747404,-2.5310613601248977,3.834929338963237,0.6331160184153615,Placenta
